Date,Close
1986-10-03,233.71
1986-10-06,234.78
1986-10-07,234.41
1986-10-08,236.68
1986-10-09,235.85
1986-10-10,235.48
1986-10-13,235.91
1986-10-14,235.37
1986-10-15,238.80
1986-10-16,239.53
1986-10-17,238.84
1986-10-20,235.97
1986-10-21,235.88
1986-10-22,236.26
1986-10-23,239.28
1986-10-24,238.26
1986-10-27,238.77
1986-10-28,239.26
1986-10-29,240.94
1986-10-30,243.71
1986-10-31,243.98
1986-11-03,245.80
1986-11-04,246.20
1986-11-05,246.58
1986-11-06,245.87
1986-11-07,245.77
1986-11-10,246.13
1986-11-11,247.08
1986-11-12,246.64
1986-11-13,243.02
1986-11-14,244.50
1986-11-17,243.21
1986-11-18,236.78
1986-11-19,237.66
1986-11-20,242.05
1986-11-21,245.86
1986-11-24,247.45
1986-11-25,248.17
1986-11-26,248.77
1986-11-28,249.22
1986-12-01,249.05
1986-12-02,254.00
1986-12-03,253.85
1986-12-04,253.04
1986-12-05,251.17
1986-12-08,251.16
1986-12-09,249.28
1986-12-10,250.96
1986-12-11,248.17
1986-12-12,247.35
1986-12-15,248.21
1986-12-16,250.04
1986-12-17,247.56
1986-12-18,246.78
1986-12-19,249.73
1986-12-22,248.75
1986-12-23,246.34
1986-12-24,246.75
1986-12-26,246.92
1986-12-29,244.67
1986-12-30,243.37
1986-12-31,242.17
1987-01-02,246.45
1987-01-05,252.19
1987-01-06,252.78
1987-01-07,255.33
1987-01-08,257.28
1987-01-09,258.73
1987-01-12,260.30
1987-01-13,259.95
1987-01-14,262.64
1987-01-15,265.49
1987-01-16,266.28
1987-01-19,269.34
1987-01-20,269.04
1987-01-21,267.84
1987-01-22,273.91
1987-01-23,270.10
1987-01-26,269.61
1987-01-27,273.75
1987-01-28,275.40
1987-01-29,274.24
1987-01-30,274.08
1987-02-02,276.45
1987-02-03,275.99
1987-02-04,279.64
1987-02-05,281.16
1987-02-06,280.04
1987-02-09,278.16
1987-02-10,275.07
1987-02-11,277.54
1987-02-12,275.62
1987-02-13,279.70
1987-02-17,285.49
1987-02-18,285.42
1987-02-19,285.57
1987-02-20,285.48
1987-02-23,282.38
1987-02-24,282.88
1987-02-25,284.00
1987-02-26,282.96
1987-02-27,284.20
1987-03-02,283.00
1987-03-03,284.12
1987-03-04,288.62
1987-03-05,290.52
1987-03-06,290.66
1987-03-09,288.30
1987-03-10,290.86
1987-03-11,290.31
1987-03-12,291.22
1987-03-13,289.89
1987-03-16,288.23
1987-03-17,292.47
1987-03-18,292.78
1987-03-19,294.08
1987-03-20,298.17
1987-03-23,301.16
1987-03-24,301.64
1987-03-25,300.38
1987-03-26,300.93
1987-03-27,296.13
1987-03-30,289.20
1987-03-31,291.70
1987-04-01,292.38
1987-04-02,293.63
1987-04-03,300.41
1987-04-06,301.95
1987-04-07,296.69
1987-04-08,297.26
1987-04-09,292.86
1987-04-10,292.49
1987-04-13,285.62
1987-04-14,279.16
1987-04-15,284.44
1987-04-16,286.91
1987-04-20,286.09
1987-04-21,293.07
1987-04-22,287.19
1987-04-23,286.82
1987-04-24,281.52
1987-04-27,281.83
1987-04-28,282.51
1987-04-29,284.57
1987-04-30,288.36
1987-05-01,288.03
1987-05-04,289.36
1987-05-05,295.34
1987-05-06,295.47
1987-05-07,294.71
1987-05-08,293.37
1987-05-11,291.57
1987-05-12,293.30
1987-05-13,293.98
1987-05-14,294.24
1987-05-15,287.43
1987-05-18,286.65
1987-05-19,279.62
1987-05-20,278.21
1987-05-21,280.17
1987-05-22,282.16
1987-05-26,289.11
1987-05-27,288.73
1987-05-28,290.76
1987-05-29,290.10
1987-06-01,289.83
1987-06-02,288.46
1987-06-03,293.47
1987-06-04,295.09
1987-06-05,293.45
1987-06-08,296.72
1987-06-09,297.28
1987-06-10,297.47
1987-06-11,298.73
1987-06-12,301.62
1987-06-15,303.14
1987-06-16,304.76
1987-06-17,304.81
1987-06-18,305.69
1987-06-19,306.97
1987-06-22,309.65
1987-06-23,308.43
1987-06-24,306.86
1987-06-25,308.96
1987-06-26,307.16
1987-06-29,307.90
1987-06-30,304.00
1987-07-01,302.94
1987-07-02,305.63
1987-07-06,304.92
1987-07-07,307.40
1987-07-08,308.29
1987-07-09,307.52
1987-07-10,308.37
1987-07-13,307.63
1987-07-14,310.68
1987-07-15,310.42
1987-07-16,312.70
1987-07-17,314.59
1987-07-20,311.39
1987-07-21,308.55
1987-07-22,308.47
1987-07-23,307.81
1987-07-24,309.27
1987-07-27,310.65
1987-07-28,312.33
1987-07-29,315.65
1987-07-30,318.05
1987-07-31,318.66
1987-08-03,317.57
1987-08-04,316.23
1987-08-05,318.45
1987-08-06,322.09
1987-08-07,323.00
1987-08-10,328.00
1987-08-11,333.33
1987-08-12,332.39
1987-08-13,334.65
1987-08-14,333.99
1987-08-17,334.11
1987-08-18,329.25
1987-08-19,329.83
1987-08-20,334.84
1987-08-21,335.90
1987-08-24,333.33
1987-08-25,336.77
1987-08-26,334.57
1987-08-27,331.38
1987-08-28,327.04
1987-08-31,329.80
1987-09-01,323.40
1987-09-02,321.68
1987-09-03,320.21
1987-09-04,316.70
1987-09-08,313.56
1987-09-09,313.92
1987-09-10,317.13
1987-09-11,321.98
1987-09-14,323.08
1987-09-15,317.74
1987-09-16,314.86
1987-09-17,314.93
1987-09-18,314.86
1987-09-21,310.54
1987-09-22,319.50
1987-09-23,321.19
1987-09-24,319.72
1987-09-25,320.16
1987-09-28,323.20
1987-09-29,321.69
1987-09-30,321.83
1987-10-01,327.33
1987-10-02,328.07
1987-10-05,328.08
1987-10-06,319.22
1987-10-07,318.54
1987-10-08,314.16
1987-10-09,311.07
1987-10-12,309.39
1987-10-13,314.52
1987-10-14,305.23
1987-10-15,298.08
1987-10-16,282.70
1987-10-19,224.84
1987-10-20,236.83
1987-10-21,258.38
1987-10-22,248.25
1987-10-23,248.22
1987-10-26,227.67
1987-10-27,233.19
1987-10-28,233.28
1987-10-29,244.77
1987-10-30,251.79
