Date,SP500
2001-02-09,1831.96
2001-02-13,1837.77
2001-02-14,1834.10
2001-02-15,1849.15
2001-02-16,1814.22
2001-02-20,1782.75
2001-02-21,1749.86
2001-02-22,1746.50
2001-02-23,1736.82
2001-02-26,1767.29
2001-02-27,1753.88
2001-02-28,1729.07
2001-03-01,1730.91
2001-03-02,1721.09
2001-03-05,1731.42
2001-03-06,1748.74
2001-03-07,1760.36
2001-03-08,1764.39
2001-03-09,1720.71
2001-03-12,1646.42
2001-03-13,1671.18
2001-03-14,1628.02
2001-03-15,1637.61
2001-03-16,1605.48
2001-03-19,1633.81
2001-03-21,1565.98
2001-03-22,1559.65
2001-03-23,1590.70
2001-03-26,1608.65
2001-03-27,1649.79
2001-03-28,1609.67
2001-03-29,1602.26
2001-03-30,1619.54
2001-04-02,1599.35
2001-04-03,1544.35
2001-04-04,1540.17
2001-04-05,1607.46
2001-04-06,1575.71
2001-04-09,1588.50
2001-04-10,1631.68
2001-04-11,1628.23
2001-04-12,1652.83
2001-04-16,1647.50
2001-04-17,1664.44
2001-04-18,1729.26
2001-04-19,1750.98
2001-04-20,1736.02
2001-04-23,1710.01
2001-04-24,1689.23
2001-04-25,1716.17
2001-04-26,1724.38
2001-04-27,1750.32
2001-05-01,1769.12
2001-05-02,1770.66
2001-05-07,1765.49
2001-05-08,1762.41
2001-05-09,1754.71
2001-05-10,1754.46
2001-05-11,1741.33
2001-05-14,1746.01
2001-05-15,1746.75
2001-05-16,1796.72
2001-05-17,1801.63
2001-05-18,1806.83
2001-05-21,1836.02
2001-05-22,1831.20
2001-05-23,1802.84
2001-05-24,1808.64
2001-05-25,1787.28
2001-05-29,1773.45
2001-05-30,1746.11
2001-05-31,1757.09
2001-06-01,1763.87
2001-06-04,1772.91
2001-06-05,1795.96
2001-06-06,1777.25
2001-06-07,1786.99
2001-06-08,1770.21
2001-06-11,1755.42
2001-06-12,1757.48
2001-06-13,1737.94
2001-06-14,1707.56
2001-06-15,1699.85
2001-06-18,1691.59
2001-06-19,1697.41
2001-06-20,1712.26
2001-06-21,1731.75
2001-06-22,1715.39
2001-06-25,1705.94
2001-06-26,1703.37
2001-06-27,1695.61
2001-06-28,1716.81
2001-06-29,1714.32
2001-07-02,1731.53
2001-07-03,1728.65
2001-07-05,1707.68
2001-07-06,1667.90
2001-07-09,1679.40
2001-07-10,1655.30
2001-07-11,1653.54
2001-07-12,1692.73
2001-07-13,1703.31
2001-07-16,1684.77
2001-07-17,1701.57
2001-07-18,1692.27
2001-07-19,1702.52
2001-07-23,1668.90
2001-07-24,1641.76
2001-07-25,1668.16
2001-07-26,1685.62
2001-07-27,1689.78
2001-07-30,1688.03
2001-07-31,1697.44
2001-08-01,1704.24
2001-08-02,1711.17
2001-08-03,1702.43
2001-08-06,1683.03
2001-08-07,1688.60
2001-08-08,1659.58
2001-08-09,1659.76
2001-08-10,1669.21
2001-08-13,1670.96
2001-08-14,1664.61
2001-08-15,1652.71
2001-08-16,1657.88
2001-08-17,1630.34
2001-08-20,1643.59
2001-08-21,1623.74
2001-08-22,1635.16
2001-08-23,1630.66
2001-08-24,1662.74
2001-08-27,1654.72
2001-08-28,1629.91
2001-08-29,1612.05
2001-08-30,1584.77
2001-08-31,1591.18
2001-09-04,1590.29
2001-09-05,1588.93
2001-09-06,1553.41
2001-09-07,1524.47
2001-09-10,1533.98
2001-09-17,1458.99
2001-09-18,1450.54
2001-09-19,1427.24
2001-09-20,1382.93
2001-09-21,1356.61
2001-09-25,1421.91
2001-09-26,1415.01
2001-09-27,1431.29
2001-09-28,1462.69
2001-10-01,1459.33
2001-10-02,1477.29
2001-10-03,1507.03
2001-10-04,1503.31
2001-10-05,1506.11
2001-10-09,1485.63
2001-10-10,1519.77
2001-10-11,1542.98
2001-10-12,1534.86
2001-10-15,1532.52
2001-10-16,1543.15
2001-10-17,1514.50
2001-10-18,1502.61
2001-10-19,1509.46
2001-10-22,1532.55
2001-10-23,1525.35
2001-10-24,1525.96
2001-10-25,1546.90
2001-10-26,1553.26
2001-10-29,1516.39
2001-10-30,1490.44
2001-10-31,1490.58
2001-11-01,1524.96
2001-11-02,1529.35
2001-11-05,1551.39
2001-11-06,1573.93
2001-11-07,1570.16
2001-11-08,1574.09
2001-11-09,1576.61
2001-11-12,1573.82
2001-11-13,1603.27
2001-11-14,1606.64
2001-11-15,1608.09
2001-11-16,1603.17
2001-11-19,1620.66
2001-11-20,1608.90
2001-11-21,1601.02
2001-11-26,1629.76
2001-11-27,1618.62
2001-11-28,1589.38
2001-11-29,1605.99
2001-11-30,1604.92
2001-12-03,1591.48
2001-12-04,1612.46
2001-12-05,1649.00
2001-12-06,1644.48
2001-12-07,1632.10
2001-12-10,1606.23
2001-12-11,1601.76
2001-12-12,1602.45
2001-12-13,1577.58
2001-12-14,1582.81
2001-12-17,1598.74
2001-12-18,1610.83
2001-12-19,1620.27
2001-12-20,1606.91
2001-12-21,1613.94
2001-12-26,1620.26
2001-12-27,1631.69
2001-12-28,1637.23
2002-01-04,1653.69
2002-01-07,1642.95
2002-01-08,1637.48
2002-01-09,1629.70
2002-01-10,1631.72
2002-01-11,1616.35
2002-01-15,1617.18
2002-01-16,1591.04
2002-01-17,1607.02
2002-01-18,1591.08
2002-01-22,1579.41
2002-01-23,1591.94
2002-01-24,1597.55
2002-01-25,1599.14
2002-01-28,1598.86
2002-01-29,1553.23
2002-01-30,1571.69
2002-01-31,1595.35
2002-02-01,1584.06
2002-02-04,1544.89
2002-02-05,1538.70
2002-02-06,1529.67
2002-02-07,1525.26
2002-02-08,1547.94
2002-02-12,1563.95
2002-02-13,1580.03
2002-02-14,1577.29
2002-02-15,1559.97
2002-02-19,1530.58
2002-02-20,1551.37
2002-02-21,1527.34
2002-02-22,1539.91
2002-02-25,1567.59
2002-02-26,1567.65
2002-02-27,1569.00
2002-02-28,1564.59
2002-03-01,1600.02
2002-03-04,1631.25
2002-03-05,1620.37
2002-03-06,1644.20
2002-03-07,1636.86
2002-03-08,1646.44
2002-03-11,1652.04
2002-03-12,1648.28
2002-03-13,1632.46
2002-03-14,1631.00
2002-03-15,1649.56
2002-03-18,1648.73
2002-03-19,1655.44
2002-03-20,1629.43
2002-03-22,1625.02
2002-03-25,1601.21
2002-03-26,1610.81
2002-03-27,1619.45
2002-03-28,1623.43
2002-04-01,1622.23
2002-04-02,1608.39
2002-04-03,1592.60
2002-04-04,1593.96
2002-04-05,1588.87
2002-04-08,1592.88
2002-04-09,1582.36
2002-04-10,1600.36
2002-04-11,1562.52
2002-04-12,1572.89
2002-04-15,1560.92
2002-04-16,1597.48
2002-04-17,1594.32
2002-04-18,1592.08
2002-04-19,1593.07
2002-04-22,1568.52
2002-04-23,1558.79
2002-04-24,1547.74
2002-04-25,1545.40
2002-04-26,1524.08
2002-04-30,1525.00
2002-05-01,1538.65
2002-05-02,1536.16
2002-05-07,1486.57
2002-05-08,1542.53
2002-05-09,1520.39
2002-05-10,1494.87
2002-05-13,1522.80
2002-05-14,1555.04
2002-05-15,1546.73
2002-05-16,1556.93
2002-05-17,1569.17
2002-05-20,1548.31
2002-05-21,1531.32
2002-05-22,1540.12
2002-05-23,1555.82
2002-05-24,1537.02
2002-05-28,1523.83
2002-05-29,1514.33
2002-05-30,1510.25
2002-05-31,1513.77
2002-06-03,1476.26
2002-06-04,1476.28
2002-06-05,1489.88
2002-06-06,1460.50
2002-06-07,1458.21
2002-06-10,1462.78
2002-06-11,1438.47
2002-06-12,1448.16
2002-06-13,1433.01
2002-06-14,1429.78
2002-06-17,1470.84
2002-06-18,1472.25
2002-06-19,1447.98
2002-06-20,1428.55
2002-06-21,1404.19
2002-06-24,1409.30
2002-06-25,1385.76
2002-06-26,1382.78
2002-06-27,1407.11
2002-06-28,1405.93
2002-07-01,1375.87
2002-07-02,1346.96
2002-07-03,1355.40
2002-07-05,1405.20
2002-07-08,1388.44
2002-07-09,1354.23
2002-07-10,1308.30
2002-07-11,1318.18
2002-07-12,1309.68
2002-07-15,1304.76
2002-07-16,1280.78
2002-07-17,1287.98
2002-07-18,1253.21
2002-07-19,1205.16
2002-07-22,1165.48
2002-07-23,1133.99
2002-07-24,1199.01
2002-07-25,1192.28
2002-07-26,1212.41
2002-07-29,1278.10
2002-07-30,1283.62
2002-07-31,1296.34
2002-08-01,1258.22
2002-08-02,1229.19
2002-08-05,1187.07
2002-08-06,1222.59
2002-08-07,1247.28
2002-08-08,1288.12
2002-08-09,1292.94
2002-08-12,1286.08
2002-08-13,1258.36
2002-08-14,1309.04
2002-08-15,1324.32
2002-08-16,1322.36
2002-08-19,1353.63
2002-08-20,1334.70
2002-08-21,1351.82
2002-08-22,1370.85
2002-08-23,1339.78
2002-08-26,1349.88
